"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"103160116",30.5389242958672,-0.17718833803938,0.213106945704025,0.702128473698224,0.402069419186265,0.506551164914717
"103160117",68.4622562076192,-0.717743008479021,0.2489120336989,8.06058311185126,0.00452386218603617,0.0266059995757154
"103160121",18.7563864858979,0.743184428905411,0.513177335476654,2.14247280522545,0.143270789145672,0.242863347557142
"103160134",18.7736676082241,-0.076548533795087,0.274722446374677,0.084307891104288,0.771542209448789,0.824559996038985
"103160136",1816.6044045551,0.861003903608768,0.363017307250672,5.73025294895331,0.0166750805879237,0.0591573978549733
"103160138",77.3016904793655,0.648936037300691,0.208649848409227,9.80964197206885,0.00173599298676933,0.014850072159561
"103160139",31.0718003473277,0.666989000051825,0.431904115040751,2.43235721404534,0.118854053382065,0.212891931555703
"103160142",338.782784310712,0.429759672277029,0.117179792224494,13.6110061043685,0.000224863348931033,0.00411381274781807
"103160145",6.45133389191026,0.975153594279909,0.295179745487308,11.3021510759614,0.000774173462729163,0.00920140114773834
"103160165",311.63449364843,-0.710801796815259,0.524090657072409,1.77390177215159,0.182899940222283,0.287233633790195
"103160170",29.253068868351,-0.971943976400965,0.44036331052633,4.64240175396657,0.0311913207807106,0.0881480367590061
"103160172",7.76656434513738,-0.610369968644072,0.307216769331793,3.96156962281913,0.0465502782267778,0.113813588750197
"103160176",15.5965257971181,0.432301627630211,0.418166787471725,1.07628676242865,0.299529720178694,0.408071206856443
"103160178",67.9313077321386,0.280391375723999,0.399684495937445,0.496595210915245,0.480999989450077,0.578951299748759
"103160179",13.2084438720425,0.72696048856202,0.590996793687448,1.54552517742195,0.213797263574341,0.320245321571049
"103160180",9.87057473582712,0.736492751514885,0.372434776877687,4.01714434232491,0.0450399141626221,0.111558160806851
"103160181",150.754697113872,-0.843714027191997,0.296136539843205,7.77642624832299,0.00529324082276868,0.0293232339421889
"103160182",1.54501014337921,0.355745329883468,0.638921288610143,0.320575273652992,0.571262131517365,0.660256215913436
"103160183",11.7364799992219,0.753487999215577,0.467028053178019,2.65024386977495,0.103534011862816,0.193155924276407
"103160184",24.3758995548905,0.351470311030946,0.341173106851763,1.06838102847797,0.301311419624694,0.409844742798541
"103160187",6.89509514636117,0.750853024197437,0.604299667967168,1.55829666825099,0.211914795152651,0.318400975573122
"103160195",7.03407172423006,1.31187433512516,0.879800362441033,2.26924666863528,0.131964034589198,0.229155723391822
"103160199",1090.56982675477,-0.23927829648273,0.173765314322723,1.87710987920718,0.170662992703516,0.275022609826605
"103160203",15.4952444820574,0.48008723751848,0.42893692315361,1.26589063899604,0.260539011154307,0.368783875069888
"103160215",28.8838488714478,-0.824722608463016,0.183293623713044,19.9808281020509,7.82225384420344e-06,0.000520758515938218
"103160216",6.83291481061336,0.34291396734466,0.61702519420018,0.31628108089501,0.573851197573839,0.662333125488156
"103160221",49.6761858025755,-1.07231508036739,0.617812704222856,2.83935529657703,0.0919811122681649,0.178768322517359
"103160224",538.9608007347,0.486090448339358,0.279477478272787,3.06689468375691,0.0799019654218092,0.162947468669899
"103160225",325.489880542814,-0.629015848791853,0.237821419339743,6.7872759540877,0.0091809899174034,0.0409273185046354
"103160240",6.77691996854407,0.204995084384862,0.429613179975212,0.237670248076597,0.625893871230515,0.706173615329928
"103160241",804.699382653919,0.233601213378756,0.209507368596067,1.25274959928481,0.263027967806884,0.371516550315466
"103160242",126.682547669677,0.128512943101578,0.119855454503619,1.16039151670446,0.28138435811937,0.389927729641922
"103160243",133.107328940565,0.894141679794544,0.370217278958157,5.93596093663427,0.0148349777271699,0.0553289789630491
"103160245",153.744688526395,0.310130668311848,0.219093375752251,2.02521090915502,0.154707443419238,0.256552299137245
"103160246",55.6825610093443,0.736911741929649,0.336831628150928,4.87237425745491,0.0272899291998458,0.0809360199407068
